Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01T00:00:00.000000,Brazil,Brazil,BR,110.3,151.93,80.56,77.85,,false,""
2021-01-01T01:00:00.000000,Brazil,Brazil,BR,120.29,163.48,78.77,75.83,,false,""
2021-01-01T02:00:00.000000,Brazil,Brazil,BR,126.88,171.15,77.58,74.46,,false,""
2021-01-01T03:00:00.000000,Brazil,Brazil,BR,131.19,176.03,76.96,73.73,,false,""
2021-01-01T04:00:00.000000,Brazil,Brazil,BR,131.93,176.89,76.85,73.59,,false,""
2021-01-01T05:00:00.000000,Brazil,Brazil,BR,132.44,177.47,76.84,73.57,,false,""
2021-01-01T06:00:00.000000,Brazil,Brazil,BR,128.59,172.84,77.62,74.31,,false,""
2021-01-01T07:00:00.000000,Brazil,Brazil,BR,125.62,169.36,78.15,74.79,,false,""
2021-01-01T08:00:00.000000,Brazil,Brazil,BR,122.49,165.67,78.7,75.2,,false,""
2021-01-01T09:00:00.000000,Brazil,Brazil,BR,119.93,162.82,79.14,75.45,,false,""
2021-01-01T10:00:00.000000,Brazil,Brazil,BR,121.19,164.62,78.92,75.2,,false,""
2021-01-01T11:00:00.000000,Brazil,Brazil,BR,120.26,163.78,79.08,75.38,,false,""
2021-01-01T12:00:00.000000,Brazil,Brazil,BR,118.71,162.29,79.36,75.71,,false,""
2021-01-01T13:00:00.000000,Brazil,Brazil,BR,116.04,159.4,79.82,76.25,,false,""
2021-01-01T14:00:00.000000,Brazil,Brazil,BR,114.93,158.26,80.01,76.48,,false,""
2021-01-01T15:00:00.000000,Brazil,Brazil,BR,113.97,157.11,80.18,76.66,,false,""
2021-01-01T16:00:00.000000,Brazil,Brazil,BR,115.17,158.38,79.97,76.41,,false,""
2021-01-01T17:00:00.000000,Brazil,Brazil,BR,115.22,158.32,79.96,76.4,,false,""
2021-01-01T18:00:00.000000,Brazil,Brazil,BR,114.36,157.13,80.11,76.58,,false,""
2021-01-01T19:00:00.000000,Brazil,Brazil,BR,115.1,157.75,79.98,76.53,,false,""
2021-01-01T20:00:00.000000,Brazil,Brazil,BR,119.13,162.25,79.28,75.93,,false,""
2021-01-01T21:00:00.000000,Brazil,Brazil,BR,114.82,157.04,80.03,76.87,,false,""
2021-01-01T22:00:00.000000,Brazil,Brazil,BR,106.31,147.07,81.51,78.62,,false,""
2021-01-01T23:00:00.000000,Brazil,Brazil,BR,103.08,143.28,82.07,79.28,,false,""
2021-01-02T00:00:00.000000,Brazil,Brazil,BR,103.97,144.31,81.92,79.11,,false,""
2021-01-02T01:00:00.000000,Brazil,Brazil,BR,105.79,146.41,81.6,78.75,,false,""
2021-01-02T02:00:00.000000,Brazil,Brazil,BR,109.49,150.66,80.96,78.02,,false,""
2021-01-02T03:00:00.000000,Brazil,Brazil,BR,112.3,153.82,80.47,77.38,,false,""
2021-01-02T04:00:00.000000,Brazil,Brazil,BR,117.05,159.36,79.64,76.43,,false,""
2021-01-02T05:00:00.000000,Brazil,Brazil,BR,119.45,162.18,79.23,75.92,,false,""
2021-01-02T06:00:00.000000,Brazil,Brazil,BR,120.94,163.95,78.97,75.62,,false,""
2021-01-02T07:00:00.000000,Brazil,Brazil,BR,123.51,167.13,78.52,75.09,,false,""
2021-01-02T08:00:00.000000,Brazil,Brazil,BR,125.64,169.63,78.15,74.67,,false,""
