Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01T00:00:00.000000,Canada,Québec,CA-QC,0.49,28.09,99.87,99.05,hydroquebec.com,false,""
2023-01-01T01:00:00.000000,Canada,Québec,CA-QC,0.7,28.52,99.81,98.51,hydroquebec.com,false,""
2023-01-01T02:00:00.000000,Canada,Québec,CA-QC,0.76,28.81,99.8,98.57,hydroquebec.com,false,""
2023-01-01T03:00:00.000000,Canada,Québec,CA-QC,0.71,28.95,99.81,98.67,hydroquebec.com,false,""
2023-01-01T04:00:00.000000,Canada,Québec,CA-QC,0.34,28.58,99.91,98.88,hydroquebec.com,false,""
2023-01-01T05:00:00.000000,Canada,Québec,CA-QC,0.17,28.47,99.95,99.06,hydroquebec.com,false,""
2023-01-01T06:00:00.000000,Canada,Québec,CA-QC,0.05,28.64,99.99,99.02,hydroquebec.com,false,""
2023-01-01T07:00:00.000000,Canada,Québec,CA-QC,0.05,29.05,99.99,99.02,hydroquebec.com,false,""
2023-01-01T08:00:00.000000,Canada,Québec,CA-QC,0.05,29.12,99.99,99.02,hydroquebec.com,false,""
2023-01-01T09:00:00.000000,Canada,Québec,CA-QC,0.04,29.04,99.99,99.09,hydroquebec.com,false,""
2023-01-01T10:00:00.000000,Canada,Québec,CA-QC,0.05,28.91,99.99,99.07,hydroquebec.com,false,""
2023-01-01T11:00:00.000000,Canada,Québec,CA-QC,0.09,28.72,99.98,98.94,hydroquebec.com,false,""
2023-01-01T12:00:00.000000,Canada,Québec,CA-QC,0.37,28.72,99.9,98.15,hydroquebec.com,false,""
2023-01-01T13:00:00.000000,Canada,Québec,CA-QC,0.5,28.87,99.86,98.47,hydroquebec.com,false,""
2023-01-01T14:00:00.000000,Canada,Québec,CA-QC,0.71,28.99,99.81,98.28,hydroquebec.com,false,""
2023-01-01T15:00:00.000000,Canada,Québec,CA-QC,0.62,28.92,99.83,98.65,hydroquebec.com,false,""
2023-01-01T16:00:00.000000,Canada,Québec,CA-QC,1.28,29.55,99.66,97.64,hydroquebec.com,false,""
2023-01-01T17:00:00.000000,Canada,Québec,CA-QC,0.68,29.11,99.82,98.85,hydroquebec.com,false,""
2023-01-01T18:00:00.000000,Canada,Québec,CA-QC,0.63,29.06,99.83,98.96,hydroquebec.com,false,""
2023-01-01T19:00:00.000000,Canada,Québec,CA-QC,0.57,29.01,99.85,98.99,hydroquebec.com,false,""
2023-01-01T20:00:00.000000,Canada,Québec,CA-QC,0.26,28.64,99.93,99.36,hydroquebec.com,false,""
2023-01-01T21:00:00.000000,Canada,Québec,CA-QC,0.26,28.44,99.93,99.38,hydroquebec.com,false,""
2023-01-01T22:00:00.000000,Canada,Québec,CA-QC,0.33,28.36,99.91,99.38,hydroquebec.com,false,""
2023-01-01T23:00:00.000000,Canada,Québec,CA-QC,0.65,28.65,99.82,98.95,hydroquebec.com,false,""
2023-01-02T00:00:00.000000,Canada,Québec,CA-QC,0.54,28.56,99.85,99.12,hydroquebec.com,false,""
2023-01-02T01:00:00.000000,Canada,Québec,CA-QC,0.53,28.57,99.86,98.89,hydroquebec.com,false,""
2023-01-02T02:00:00.000000,Canada,Québec,CA-QC,0.3,28.46,99.92,99.26,hydroquebec.com,false,""
2023-01-02T03:00:00.000000,Canada,Québec,CA-QC,0.37,28.59,99.9,99.05,hydroquebec.com,false,""
2023-01-02T04:00:00.000000,Canada,Québec,CA-QC,0.28,28.63,99.92,99.03,hydroquebec.com,false,""
2023-01-02T05:00:00.000000,Canada,Québec,CA-QC,0.17,28.54,99.95,99.02,hydroquebec.com,false,""
2023-01-02T06:00:00.000000,Canada,Québec,CA-QC,0.07,28.33,99.98,98.62,hydroquebec.com,false,""
2023-01-02T07:00:00.000000,Canada,Québec,CA-QC,0.07,28.35,99.98,98.55,hydroquebec.com,false,""
2023-01-02T08:00:00.000000,Canada,Québec,CA-QC,0.08,28.31,99.98,98.31,hydroquebec.com,false,""
2023-01-02T09:00:00.000000,Canada,Québec,CA-QC,0.12,28.5,99.97,98.9,hydroquebec.com,false,""
2023-01-02T10:00:00.000000,Canada,Québec,CA-QC,0.29,28.68,99.92,98.98,hydroquebec.com,false,""
2023-01-02T11:00:00.000000,Canada,Québec,CA-QC,0.75,29.04,99.8,98.43,hydroquebec.com,false,""
2023-01-02T12:00:00.000000,Canada,Québec,CA-QC,0.82,29.04,99.78,98.59,hydroquebec.com,false,""
2023-01-02T13:00:00.000000,Canada,Québec,CA-QC,0.86,28.96,99.77,98.67,hydroquebec.com,false,""
2023-01-02T14:00:00.000000,Canada,Québec,CA-QC,0.83,28.83,99.77,98.73,hydroquebec.com,false,""
2023-01-02T15:00:00.000000,Canada,Québec,CA-QC,0.8,28.77,99.78,98.78,hydroquebec.com,false,""
2023-01-02T16:00:00.000000,Canada,Québec,CA-QC,0.56,28.53,99.85,99.15,hydroquebec.com,false,""
2023-01-02T17:00:00.000000,Canada,Québec,CA-QC,0.56,28.56,99.85,99.15,hydroquebec.com,false,""
2023-01-02T18:00:00.000000,Canada,Québec,CA-QC,0.54,28.62,99.85,99.19,hydroquebec.com,false,""
2023-01-02T19:00:00.000000,Canada,Québec,CA-QC,0.17,28.3,99.95,99.75,hydroquebec.com,false,""
2023-01-02T20:00:00.000000,Canada,Québec,CA-QC,0.06,28.12,99.98,99.91,hydroquebec.com,false,""
2023-01-02T21:00:00.000000,Canada,Québec,CA-QC,0.14,28.01,99.96,99.79,hydroquebec.com,false,""
2023-01-02T22:00:00.000000,Canada,Québec,CA-QC,0.27,28.01,99.93,99.64,hydroquebec.com,false,""
2023-01-02T23:00:00.000000,Canada,Québec,CA-QC,0.07,27.77,99.98,99.92,hydroquebec.com,false,""
2023-01-03T00:00:00.000000,Canada,Québec,CA-QC,0.07,27.84,99.98,99.92,hydroquebec.com,false,""
2023-01-03T01:00:00.000000,Canada,Québec,CA-QC,0.06,27.98,99.98,99.92,hydroquebec.com,false,""
2023-01-03T02:00:00.000000,Canada,Québec,CA-QC,0.04,28.08,99.99,99.92,hydroquebec.com,false,""
2023-01-03T03:00:00.000000,Canada,Québec,CA-QC,0.04,28.13,99.99,99.89,hydroquebec.com,false,""
