Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01T00:00:00.000000,Ireland,Ireland,IE,124.17,160.0,77.69,77.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T01:00:00.000000,Ireland,Ireland,IE,142.49,179.8,75.2,75.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T02:00:00.000000,Ireland,Ireland,IE,133.26,170.64,76.16,76.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T03:00:00.000000,Ireland,Ireland,IE,147.73,187.81,73.58,73.58,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T04:00:00.000000,Ireland,Ireland,IE,168.45,212.38,69.87,69.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T05:00:00.000000,Ireland,Ireland,IE,176.55,221.99,68.42,68.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T06:00:00.000000,Ireland,Ireland,IE,180.0,226.29,67.75,67.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T07:00:00.000000,Ireland,Ireland,IE,192.43,241.21,65.5,64.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T08:00:00.000000,Ireland,Ireland,IE,196.63,245.8,64.83,64.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T09:00:00.000000,Ireland,Ireland,IE,192.24,240.58,65.62,65.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T10:00:00.000000,Ireland,Ireland,IE,183.5,230.23,67.18,67.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T11:00:00.000000,Ireland,Ireland,IE,176.89,222.51,68.33,68.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T12:00:00.000000,Ireland,Ireland,IE,170.72,215.1,69.46,69.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T13:00:00.000000,Ireland,Ireland,IE,152.8,193.82,72.67,72.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T14:00:00.000000,Ireland,Ireland,IE,147.05,187.0,73.7,73.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T15:00:00.000000,Ireland,Ireland,IE,149.98,190.48,73.17,73.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T16:00:00.000000,Ireland,Ireland,IE,150.73,191.36,73.04,73.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T17:00:00.000000,Ireland,Ireland,IE,189.61,237.48,66.08,66.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T18:00:00.000000,Ireland,Ireland,IE,202.34,252.57,63.81,63.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T19:00:00.000000,Ireland,Ireland,IE,198.3,247.91,64.49,64.3,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T20:00:00.000000,Ireland,Ireland,IE,203.51,253.95,63.6,63.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T21:00:00.000000,Ireland,Ireland,IE,179.74,225.88,67.82,67.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T22:00:00.000000,Ireland,Ireland,IE,182.17,229.04,67.32,66.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01T23:00:00.000000,Ireland,Ireland,IE,178.69,224.96,67.94,67.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02T00:00:00.000000,Ireland,Ireland,IE,178.0,223.7,68.16,68.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02T01:00:00.000000,Ireland,Ireland,IE,162.36,205.31,70.93,70.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02T02:00:00.000000,Ireland,Ireland,IE,162.15,205.32,70.92,70.24,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02T03:00:00.000000,Ireland,Ireland,IE,160.49,203.01,71.28,71.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
