Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01T00:00:00.000000,India,Western India,IN-WE,661.34,715.74,12.78,9.66,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T01:00:00.000000,India,Western India,IN-WE,667.58,722.39,11.95,9.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T02:00:00.000000,India,Western India,IN-WE,646.18,700.87,14.78,12.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T03:00:00.000000,India,Western India,IN-WE,615.89,670.38,18.77,16.5,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T04:00:00.000000,India,Western India,IN-WE,614.84,669.52,18.91,16.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T05:00:00.000000,India,Western India,IN-WE,616.66,671.5,18.67,16.71,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T06:00:00.000000,India,Western India,IN-WE,613.72,668.51,19.05,17.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T07:00:00.000000,India,Western India,IN-WE,608.1,662.67,19.79,17.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T08:00:00.000000,India,Western India,IN-WE,604.74,659.15,20.24,18.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T09:00:00.000000,India,Western India,IN-WE,599.61,653.78,20.91,18.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T10:00:00.000000,India,Western India,IN-WE,599.96,654.03,20.86,18.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T11:00:00.000000,India,Western India,IN-WE,603.72,657.63,20.37,17.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T12:00:00.000000,India,Western India,IN-WE,642.64,697.09,15.21,12.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T13:00:00.000000,India,Western India,IN-WE,662.57,717.37,12.55,10.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T14:00:00.000000,India,Western India,IN-WE,660.39,715.13,12.82,10.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T15:00:00.000000,India,Western India,IN-WE,654.98,709.38,13.53,10.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T16:00:00.000000,India,Western India,IN-WE,654.39,708.71,13.62,10.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T17:00:00.000000,India,Western India,IN-WE,654.74,709.04,13.58,10.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T18:00:00.000000,India,Western India,IN-WE,643.73,697.2,15.01,11.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T19:00:00.000000,India,Western India,IN-WE,643.06,696.44,15.1,11.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T20:00:00.000000,India,Western India,IN-WE,642.48,695.82,15.18,11.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T21:00:00.000000,India,Western India,IN-WE,642.89,696.26,15.13,11.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T22:00:00.000000,India,Western India,IN-WE,642.83,696.19,15.13,11.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01T23:00:00.000000,India,Western India,IN-WE,641.8,695.1,15.27,12.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T00:00:00.000000,India,Western India,IN-WE,647.78,701.47,14.48,11.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T01:00:00.000000,India,Western India,IN-WE,651.73,705.68,13.96,11.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T02:00:00.000000,India,Western India,IN-WE,634.2,688.21,16.27,13.74,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T03:00:00.000000,India,Western India,IN-WE,606.25,660.16,19.96,17.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T04:00:00.000000,India,Western India,IN-WE,601.59,655.54,20.58,18.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T05:00:00.000000,India,Western India,IN-WE,604.59,658.72,20.18,18.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T06:00:00.000000,India,Western India,IN-WE,608.77,663.21,19.61,17.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T07:00:00.000000,India,Western India,IN-WE,603.05,657.29,20.36,18.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T08:00:00.000000,India,Western India,IN-WE,602.8,657.0,20.4,18.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T09:00:00.000000,India,Western India,IN-WE,602.8,656.95,20.4,18.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T10:00:00.000000,India,Western India,IN-WE,600.72,654.64,20.68,18.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T11:00:00.000000,India,Western India,IN-WE,604.15,657.95,20.23,18.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T12:00:00.000000,India,Western India,IN-WE,637.75,692.0,15.77,13.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T13:00:00.000000,India,Western India,IN-WE,657.23,711.85,13.18,10.96,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T14:00:00.000000,India,Western India,IN-WE,652.18,706.52,13.83,11.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T15:00:00.000000,India,Western India,IN-WE,648.94,703.06,14.26,11.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T16:00:00.000000,India,Western India,IN-WE,644.72,698.53,14.82,12.3,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T17:00:00.000000,India,Western India,IN-WE,643.95,697.67,14.93,12.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T18:00:00.000000,India,Western India,IN-WE,627.61,680.28,17.02,13.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T19:00:00.000000,India,Western India,IN-WE,629.48,682.23,16.78,13.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T20:00:00.000000,India,Western India,IN-WE,628.37,681.05,16.92,13.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T21:00:00.000000,India,Western India,IN-WE,628.4,681.08,16.92,13.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T22:00:00.000000,India,Western India,IN-WE,628.4,681.08,16.92,13.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02T23:00:00.000000,India,Western India,IN-WE,628.92,681.63,16.85,13.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T00:00:00.000000,India,Western India,IN-WE,638.46,691.81,15.59,12.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T01:00:00.000000,India,Western India,IN-WE,644.62,698.37,14.78,12.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T02:00:00.000000,India,Western India,IN-WE,624.66,678.25,17.42,14.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T03:00:00.000000,India,Western India,IN-WE,599.38,652.98,20.76,18.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T04:00:00.000000,India,Western India,IN-WE,598.69,652.51,20.85,18.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T05:00:00.000000,India,Western India,IN-WE,595.45,649.22,21.28,19.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T06:00:00.000000,India,Western India,IN-WE,592.95,646.74,21.6,19.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T07:00:00.000000,India,Western India,IN-WE,587.27,640.81,22.35,20.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T08:00:00.000000,India,Western India,IN-WE,586.32,639.82,22.48,20.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T09:00:00.000000,India,Western India,IN-WE,589.43,643.07,22.06,20.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T10:00:00.000000,India,Western India,IN-WE,590.83,644.44,21.88,19.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T11:00:00.000000,India,Western India,IN-WE,595.16,648.7,21.3,19.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T12:00:00.000000,India,Western India,IN-WE,629.67,683.71,16.72,14.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T13:00:00.000000,India,Western India,IN-WE,647.71,702.03,14.31,12.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T14:00:00.000000,India,Western India,IN-WE,646.19,700.45,14.5,12.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T15:00:00.000000,India,Western India,IN-WE,641.82,695.8,15.08,12.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T16:00:00.000000,India,Western India,IN-WE,636.69,690.31,15.76,13.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T17:00:00.000000,India,Western India,IN-WE,634.76,688.22,16.02,13.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T18:00:00.000000,India,Western India,IN-WE,615.51,667.62,18.58,15.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T19:00:00.000000,India,Western India,IN-WE,614.64,666.63,18.7,15.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T20:00:00.000000,India,Western India,IN-WE,611.15,662.91,19.16,16.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T21:00:00.000000,India,Western India,IN-WE,611.12,662.88,19.17,16.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T22:00:00.000000,India,Western India,IN-WE,611.39,663.17,19.13,16.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03T23:00:00.000000,India,Western India,IN-WE,610.96,662.71,19.19,16.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04T00:00:00.000000,India,Western India,IN-WE,619.56,671.88,18.05,15.24,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04T01:00:00.000000,India,Western India,IN-WE,623.34,675.91,17.55,14.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04T02:00:00.000000,India,Western India,IN-WE,605.72,658.28,19.88,17.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04T03:00:00.000000,India,Western India,IN-WE,579.4,631.96,23.36,21.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04T04:00:00.000000,India,Western India,IN-WE,575.4,628.03,23.89,21.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04T05:00:00.000000,India,Western India,IN-WE,567.6,619.95,24.92,22.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04T06:00:00.000000,India,Western India,IN-WE,569.53,622.17,24.65,22.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04T07:00:00.000000,India,Western India,IN-WE,563.77,616.23,25.41,23.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04T08:00:00.000000,India,Western India,IN-WE,563.25,615.66,25.49,23.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04T09:00:00.000000,India,Western India,IN-WE,564.79,617.24,25.28,23.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04T10:00:00.000000,India,Western India,IN-WE,568.9,621.46,24.74,22.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04T11:00:00.000000,India,Western India,IN-WE,578.23,630.95,23.5,21.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-04T12:00:00.000000,India,Western India,IN-WE,614.34,667.61,18.7,16.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
