Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01T00:00:00.000000,Japan,Japan,JP,350.59,429.66,36.04,26.67,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T01:00:00.000000,Japan,Japan,JP,274.55,345.17,49.88,40.24,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T02:00:00.000000,Japan,Japan,JP,186.5,247.74,65.96,55.82,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T03:00:00.000000,Japan,Japan,JP,186.83,248.02,65.89,55.63,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T04:00:00.000000,Japan,Japan,JP,212.15,276.0,61.29,50.82,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T05:00:00.000000,Japan,Japan,JP,266.09,335.77,51.46,40.95,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T06:00:00.000000,Japan,Japan,JP,342.24,420.23,37.57,27.42,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T07:00:00.000000,Japan,Japan,JP,411.75,497.47,24.86,15.22,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T08:00:00.000000,Japan,Japan,JP,432.68,521.07,21.03,12.3,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T09:00:00.000000,Japan,Japan,JP,434.97,523.74,20.61,12.15,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T10:00:00.000000,Japan,Japan,JP,435.03,523.85,20.6,12.16,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T11:00:00.000000,Japan,Japan,JP,435.87,524.77,20.44,12.02,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T12:00:00.000000,Japan,Japan,JP,435.61,524.41,20.49,11.93,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T13:00:00.000000,Japan,Japan,JP,433.32,521.82,20.91,12.01,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T14:00:00.000000,Japan,Japan,JP,432.93,521.39,20.99,11.96,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T15:00:00.000000,Japan,Japan,JP,432.01,520.48,21.24,11.74,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T16:00:00.000000,Japan,Japan,JP,431.08,519.5,21.43,11.74,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T17:00:00.000000,Japan,Japan,JP,431.95,520.69,21.28,11.82,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T18:00:00.000000,Japan,Japan,JP,432.84,521.8,21.13,11.84,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T19:00:00.000000,Japan,Japan,JP,432.63,521.63,21.18,11.9,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T20:00:00.000000,Japan,Japan,JP,432.11,521.02,21.26,11.97,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01T21:00:00.000000,Japan,Japan,JP,432.62,521.45,21.15,11.97,,true,ESTIMATED_MODE_BREAKDOWN
