Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01T00:00:00.000000,Sweden,Sweden,SE,1.65,22.81,99.88,66.77,entsoe.eu,false,""
2021-01-01T01:00:00.000000,Sweden,Sweden,SE,1.66,22.66,99.88,65.19,entsoe.eu,false,""
2021-01-01T02:00:00.000000,Sweden,Sweden,SE,2.01,23.1,99.81,65.08,entsoe.eu,false,""
2021-01-01T03:00:00.000000,Sweden,Sweden,SE,1.65,22.78,99.89,64.97,entsoe.eu,false,""
2021-01-01T04:00:00.000000,Sweden,Sweden,SE,1.7,23.06,99.88,65.19,entsoe.eu,false,""
2021-01-01T05:00:00.000000,Sweden,Sweden,SE,1.72,23.27,99.88,65.33,entsoe.eu,false,""
2021-01-01T06:00:00.000000,Sweden,Sweden,SE,1.75,23.55,99.88,65.48,entsoe.eu,false,""
2021-01-01T07:00:00.000000,Sweden,Sweden,SE,1.76,23.59,99.87,65.62,entsoe.eu,false,""
2021-01-01T08:00:00.000000,Sweden,Sweden,SE,1.75,23.56,99.87,66.33,entsoe.eu,false,""
2021-01-01T09:00:00.000000,Sweden,Sweden,SE,1.77,23.63,99.86,67.2,entsoe.eu,false,""
2021-01-01T10:00:00.000000,Sweden,Sweden,SE,1.74,23.55,99.86,67.98,entsoe.eu,false,""
2021-01-01T11:00:00.000000,Sweden,Sweden,SE,1.73,23.56,99.86,68.43,entsoe.eu,false,""
2021-01-01T12:00:00.000000,Sweden,Sweden,SE,1.77,23.81,99.85,68.68,entsoe.eu,false,""
2021-01-01T13:00:00.000000,Sweden,Sweden,SE,1.74,23.59,99.85,69.3,entsoe.eu,false,""
2021-01-01T14:00:00.000000,Sweden,Sweden,SE,1.73,23.61,99.85,69.81,entsoe.eu,false,""
2021-01-01T15:00:00.000000,Sweden,Sweden,SE,1.76,23.76,99.85,69.63,entsoe.eu,false,""
2021-01-01T16:00:00.000000,Sweden,Sweden,SE,1.71,23.72,99.86,69.52,entsoe.eu,false,""
2021-01-01T17:00:00.000000,Sweden,Sweden,SE,1.73,23.74,99.86,69.44,entsoe.eu,false,""
2021-01-01T18:00:00.000000,Sweden,Sweden,SE,1.65,23.56,99.87,68.91,entsoe.eu,false,""
2021-01-01T19:00:00.000000,Sweden,Sweden,SE,1.63,23.38,99.87,68.47,entsoe.eu,false,""
2021-01-01T20:00:00.000000,Sweden,Sweden,SE,1.58,22.98,99.87,68.55,entsoe.eu,false,""
2021-01-01T21:00:00.000000,Sweden,Sweden,SE,1.58,22.94,99.88,67.86,entsoe.eu,false,""
2021-01-01T22:00:00.000000,Sweden,Sweden,SE,1.7,22.91,99.86,66.85,entsoe.eu,false,""
2021-01-01T23:00:00.000000,Sweden,Sweden,SE,1.64,22.41,99.87,65.59,entsoe.eu,false,""
2021-01-02T00:00:00.000000,Sweden,Sweden,SE,1.65,22.63,99.88,65.42,entsoe.eu,false,""
2021-01-02T01:00:00.000000,Sweden,Sweden,SE,1.66,22.58,99.88,65.69,entsoe.eu,false,""
2021-01-02T02:00:00.000000,Sweden,Sweden,SE,1.65,22.54,99.88,65.89,entsoe.eu,false,""
2021-01-02T03:00:00.000000,Sweden,Sweden,SE,1.67,22.69,99.88,65.36,entsoe.eu,false,""
2021-01-02T04:00:00.000000,Sweden,Sweden,SE,1.7,22.91,99.88,65.14,entsoe.eu,false,""
2021-01-02T05:00:00.000000,Sweden,Sweden,SE,1.74,23.23,99.87,65.58,entsoe.eu,false,""
2021-01-02T06:00:00.000000,Sweden,Sweden,SE,1.78,23.56,99.86,66.5,entsoe.eu,false,""
2021-01-02T07:00:00.000000,Sweden,Sweden,SE,1.85,24.28,99.85,67.51,entsoe.eu,false,""
2021-01-02T08:00:00.000000,Sweden,Sweden,SE,1.83,24.21,99.85,68.68,entsoe.eu,false,""
2021-01-02T09:00:00.000000,Sweden,Sweden,SE,1.78,23.84,99.85,69.08,entsoe.eu,false,""
2021-01-02T10:00:00.000000,Sweden,Sweden,SE,1.78,23.79,99.85,69.15,entsoe.eu,false,""
2021-01-02T11:00:00.000000,Sweden,Sweden,SE,1.78,23.93,99.85,69.04,entsoe.eu,false,""
