Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Singapore,Singapore,SG,373.58,493.14,3.24,3.24,emcsg.com;  ema.gov.sg,false,""
2025-01-01T01:00:00.000000,Singapore,Singapore,SG,356.11,472.39,7.58,7.58,emcsg.com;  ema.gov.sg,false,""
2025-01-01T02:00:00.000000,Singapore,Singapore,SG,342.55,456.07,11.29,11.29,emcsg.com;  ema.gov.sg,false,""
2025-01-01T03:00:00.000000,Singapore,Singapore,SG,330.74,441.86,14.51,14.51,emcsg.com;  ema.gov.sg,false,""
2025-01-01T04:00:00.000000,Singapore,Singapore,SG,343.85,456.57,11.83,11.83, ema.gov.sg; emcsg.com,false,""
2025-01-01T05:00:00.000000,Singapore,Singapore,SG,355.93,471.28,8.45,8.45,emcsg.com;  ema.gov.sg,false,""
2025-01-01T06:00:00.000000,Singapore,Singapore,SG,363.42,480.53,6.14,6.14, ema.gov.sg; emcsg.com,false,""
2025-01-01T07:00:00.000000,Singapore,Singapore,SG,364.28,482.04,5.56,5.56, ema.gov.sg; emcsg.com,false,""
2025-01-01T08:00:00.000000,Singapore,Singapore,SG,363.2,480.82,5.84,5.84, ema.gov.sg; emcsg.com,false,""
2025-01-01T09:00:00.000000,Singapore,Singapore,SG,366.22,483.93,5.39,5.39,emcsg.com;  ema.gov.sg,false,""
2025-01-01T10:00:00.000000,Singapore,Singapore,SG,374.55,493.72,3.22,3.22,emcsg.com;  ema.gov.sg,false,""
2025-01-01T11:00:00.000000,Singapore,Singapore,SG,375.62,495.56,2.48,2.48,emcsg.com;  ema.gov.sg,false,""
2025-01-01T12:00:00.000000,Singapore,Singapore,SG,375.88,495.75,2.47,2.47, ema.gov.sg; emcsg.com,false,""
2025-01-01T13:00:00.000000,Singapore,Singapore,SG,375.78,495.7,2.47,2.47, ema.gov.sg; emcsg.com,false,""
2025-01-01T14:00:00.000000,Singapore,Singapore,SG,375.12,495.25,2.5,2.5,emcsg.com;  ema.gov.sg,false,""
2025-01-01T15:00:00.000000,Singapore,Singapore,SG,375.59,495.64,2.58,2.58, ema.gov.sg; emcsg.com,false,""
2025-01-01T16:00:00.000000,Singapore,Singapore,SG,377.51,497.2,2.69,2.69,emcsg.com;  ema.gov.sg,false,""
2025-01-01T17:00:00.000000,Singapore,Singapore,SG,377.11,496.92,2.72,2.72,emcsg.com;  ema.gov.sg,false,""
2025-01-01T18:00:00.000000,Singapore,Singapore,SG,377.47,497.23,2.78,2.78,emcsg.com;  ema.gov.sg,false,""
2025-01-01T19:00:00.000000,Singapore,Singapore,SG,376.63,496.58,2.8,2.8,emcsg.com;  ema.gov.sg,false,""
