Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01T00:00:00.000000,USA,Pacificorp West,US-NW-PACW,201.81,260.4,60.3,55.23,eia.gov,false,""
2024-01-01T01:00:00.000000,USA,Pacificorp West,US-NW-PACW,152.63,204.34,68.63,63.66,eia.gov,false,""
2024-01-01T02:00:00.000000,USA,Pacificorp West,US-NW-PACW,153.87,205.99,68.22,63.29,eia.gov,false,""
2024-01-01T03:00:00.000000,USA,Pacificorp West,US-NW-PACW,173.63,228.2,65.06,60.25,eia.gov,false,""
2024-01-01T04:00:00.000000,USA,Pacificorp West,US-NW-PACW,175.36,230.36,64.61,59.76,eia.gov,false,""
2024-01-01T05:00:00.000000,USA,Pacificorp West,US-NW-PACW,180.51,236.37,63.59,58.5,eia.gov,false,""
2024-01-01T06:00:00.000000,USA,Pacificorp West,US-NW-PACW,200.64,258.59,60.73,55.58,eia.gov,false,""
2024-01-01T07:00:00.000000,USA,Pacificorp West,US-NW-PACW,191.27,245.26,64.27,58.21,eia.gov,false,""
2024-01-01T08:00:00.000000,USA,Pacificorp West,US-NW-PACW,210.6,267.17,61.1,55.21,eia.gov,false,""
2024-01-01T09:00:00.000000,USA,Pacificorp West,US-NW-PACW,222.43,280.05,59.46,53.67,eia.gov,false,""
2024-01-01T10:00:00.000000,USA,Pacificorp West,US-NW-PACW,228.83,287.35,58.37,52.4,eia.gov,false,""
2024-01-01T11:00:00.000000,USA,Pacificorp West,US-NW-PACW,229.31,287.72,58.45,52.53,eia.gov,false,""
2024-01-01T12:00:00.000000,USA,Pacificorp West,US-NW-PACW,227.35,285.43,58.82,53.07,eia.gov,false,""
2024-01-01T13:00:00.000000,USA,Pacificorp West,US-NW-PACW,212.3,268.49,61.19,55.17,eia.gov,false,""
2024-01-01T14:00:00.000000,USA,Pacificorp West,US-NW-PACW,196.75,251.07,63.57,57.52,eia.gov,false,""
2024-01-01T15:00:00.000000,USA,Pacificorp West,US-NW-PACW,210.41,266.1,61.75,56.27,eia.gov,false,""
2024-01-01T16:00:00.000000,USA,Pacificorp West,US-NW-PACW,211.83,267.87,61.69,56.47,eia.gov,false,""
2024-01-01T17:00:00.000000,USA,Pacificorp West,US-NW-PACW,213.17,269.42,61.74,57.26,eia.gov,false,""
2024-01-01T18:00:00.000000,USA,Pacificorp West,US-NW-PACW,201.54,256.82,63.24,58.59,eia.gov,false,""
2024-01-01T19:00:00.000000,USA,Pacificorp West,US-NW-PACW,190.15,243.78,65.21,60.21,eia.gov,false,""
2024-01-01T20:00:00.000000,USA,Pacificorp West,US-NW-PACW,182.13,235.16,66.18,60.93,eia.gov,false,""
2024-01-01T21:00:00.000000,USA,Pacificorp West,US-NW-PACW,166.27,217.64,68.52,63.23,eia.gov,false,""
2024-01-01T22:00:00.000000,USA,Pacificorp West,US-NW-PACW,166.07,217.41,68.57,63.24,eia.gov,false,""
