Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01T00:00:00.000000,South Africa,South Africa,ZA,653.55,705.27,13.91,9.1,eskom.co.za,false,""
2023-01-01T01:00:00.000000,South Africa,South Africa,ZA,655.56,706.54,13.6,8.8,eskom.co.za,false,""
2023-01-01T02:00:00.000000,South Africa,South Africa,ZA,659.72,710.92,13.05,8.23,eskom.co.za,false,""
2023-01-01T03:00:00.000000,South Africa,South Africa,ZA,660.01,711.32,13.02,8.18,eskom.co.za,false,""
2023-01-01T04:00:00.000000,South Africa,South Africa,ZA,650.91,702.55,14.23,9.49,eskom.co.za,false,""
2023-01-01T05:00:00.000000,South Africa,South Africa,ZA,631.69,683.29,16.77,12.21,eskom.co.za,false,""
2023-01-01T06:00:00.000000,South Africa,South Africa,ZA,612.35,663.53,19.31,14.99,eskom.co.za,false,""
2023-01-01T07:00:00.000000,South Africa,South Africa,ZA,603.93,655.57,20.45,16.21,eskom.co.za,false,""
2023-01-01T08:00:00.000000,South Africa,South Africa,ZA,595.63,648.2,21.58,17.26,eskom.co.za,false,""
2023-01-01T09:00:00.000000,South Africa,South Africa,ZA,593.16,646.45,21.94,17.51,eskom.co.za,false,""
2023-01-01T10:00:00.000000,South Africa,South Africa,ZA,596.24,649.99,21.55,17.04,eskom.co.za,false,""
2023-01-01T11:00:00.000000,South Africa,South Africa,ZA,595.5,649.16,21.64,17.02,eskom.co.za,false,""
2023-01-01T12:00:00.000000,South Africa,South Africa,ZA,595.27,648.67,21.67,16.96,eskom.co.za,false,""
2023-01-01T13:00:00.000000,South Africa,South Africa,ZA,591.64,644.69,22.15,17.37,eskom.co.za,false,""
2023-01-01T14:00:00.000000,South Africa,South Africa,ZA,601.68,654.82,20.83,16.18,eskom.co.za,false,""
2023-01-01T15:00:00.000000,South Africa,South Africa,ZA,610.71,663.33,19.62,15.0,eskom.co.za,false,""
2023-01-01T16:00:00.000000,South Africa,South Africa,ZA,613.92,666.57,19.22,14.68,eskom.co.za,false,""
2023-01-01T17:00:00.000000,South Africa,South Africa,ZA,617.73,669.96,18.72,14.29,eskom.co.za,false,""
2023-01-01T18:00:00.000000,South Africa,South Africa,ZA,617.05,669.09,18.8,14.34,eskom.co.za,false,""
2023-01-01T19:00:00.000000,South Africa,South Africa,ZA,618.71,669.46,18.53,14.02,eskom.co.za,false,""
2023-01-01T20:00:00.000000,South Africa,South Africa,ZA,630.98,681.32,16.87,12.27,eskom.co.za,false,""
2023-01-01T21:00:00.000000,South Africa,South Africa,ZA,637.74,687.96,15.96,11.22,eskom.co.za,false,""
